Name,School,Position,Drafted By,Age on Draft Day,Height (FIIE),Weight (lbs.),Arm Length (inches),Hand Span (inches),Bench Press (reps),40-yard Dash (seconds),10-yard Split (seconds),20-yard Split (seconds),20-yard Shuttle (seconds),Three-cone Drill (seconds),Vertical Jump (inches),Broad Jump (FFII),RAS,Production,Ranking,
Devin Neal,Kansas,RB,,21.7,5111,213,29.50,8.50,,4.58,1.63,2.68,,,37.5,1004,7.85,7.80,104,
Demetrius Knight Jr,South Carolina,LB,,25.3,6015,235,32.50,10.00,22,4.58,1.63,2.69,4.25,7.12,31.5,0910,8.07,7.10,105,
Oluwafemi Oladejo,UCLA,EDGE,,,6032,259,33.375,9.625,20,,,,,,36.5,1000,,6.70,106,125.3
Jeffrey Bassa,Oregon,LB,,,6011,232,31.375,9.25,21,4.63,1.67,2.73,,7.34,38.5,0910,6.67,6.50,107,
Tyler Shough,Lousiville,QB,,,6047,219,30.625,9.675,,4.63,1.59,2.69,,,32.0,0909,9.71,5.80,108,
Charles Grant,William & Mary,OT,,,6047,311,34.625,10.25,19,,,,,,,,,8.60,109,
RJ Harvey,UCF,RB,,,5080,205,29.00,9.00,16,4.40,1.52,2.54,4.34,,38.0,1007,8.40,8.60,110,
Emery Jones Jr.,LSU,OT,,,6052,315,34.25,10.625,,,,,,,,,,6.10,111,
Quincy Riley,Louisville,CB,,,5105,194,31.00,8.50,,4.48,1.60,2.64,,,,,,7.10,112,
Zy Alexander,LSU,CB,,,6013,187,31.00,9.25,,4.56,1.60,2.68,,,31.5,0908,3.4,7.10,113,
Anthony Belton,NC State,OT,,,6060,336,33.75,10.25,,5.26,1.82,3.04,,7.77,29.5,0811,8.14,7.30,114,
Dorian Strong,Virginia Tech,CB,,,6010,185,30.75,9.25,15,4.50,1.57,2.61,,,36.0,0908,6.98,6.20,115,
Danny Stutsman,Oklahoma,LB,,,6032,233,32.125,9.00,,4.52,1.56,2.63,,,34.0,,9.58,7.20,116,
Jacob Parrish,Kansas State,CB,,,5096,191,30.75,9.00,12,4.35,1.54,2.55,,,37.5,1009,8.74,6.80,117,
Damien Martinez,Miami,RB,,,5115,217,30.50,9.50,,4.51,1.58,2.63,,,35.0,1004,9.36,7.50,118,
Lathan Ransom,Ohio State,S,,,6002,206,30.50,8.50,,,,,,,,,,6.6,119,
Denzel Burke,Ohio State,CB,,,5112,186,31.375,8.625,,4.48,1.56,2.61,,,,,,6.90,120,
Tory Horton,Colorado State,WR,,,6024,196,30.50,9.00,,4.41,1.53,2.56,,,37.5,,9.79,6.90,121,
Barryn Sorrell,Texas,EDGE,,,6032,256,33.25,9.25,28,4.68,1.65,2.75,4.36,7.06,34.0,1001,9.25,6.40,122,
Zah Frazier,UTSA,CB,,,6027,186,32.75,8.25,,4.36,1.47,2.54,4.26,7.00,36.5,1006,9.43,6.30,123,
DJ Giddens,Kansas State,RB,,,6002,212,30.375,9.25,,4.43,1.49,2.54,4.33,,39.5,1010,9.89,7.70,124,
Ty Robinson,Nebraska,DL,,,6051,288,32.25,10.00,28,4.83,1.70,2.80,4.50,7.58,33.5,0911,9.86,7.00,125,
J.J. Pegues,Ole Miss,DL,,,6024,309,32.50,9.375,,5.15,1.81,3.02,,,27.5,,4.38,6.70,126,
Billy Bowman Jr.,Oklahoma,S,,,5097,192,28.50,8.50,17,4.42,1.56,2.59,,,35.5,1003,7.52,7.00,127,
Sebastian Castro,Iowa,S,,,5112,203,30.625,10.50,,4.59,1.60,2.66,4.34,,30.5,0909,4.48,7.30,128,
David Walker,Central Arkansas,EDGE,,,6007,263,31.875,9.25,26,4.69,1.65,2.74,4.39,7.15,35.0,0910,8.53,6.90,129,
Elijah Roberts,SMU,EDGE,,,6035,285,33.50,10.25,,4.78,1.67,2.78,,,31.5,0908,8.07,6.90,130,
